id,title,released,developer,publisher,released_on
1831,Loopz,1990,Audiogenic,Mindscape,1990-01-01
1832,"Lords of Chaos",1991,"Mythos Games","Blade Software",1991-01-01
1833,"Lords of Conquest",1986,"Eon Software","Electronic Arts",1986-01-01
1834,"Lords of Doom","","","",
1835,"Lords of Midnight",1991,"Chris Wild","",1991-01-01
1836,"Lords of the Realm",1994,"Impressions Games","Impressions Games",1994-01-01
1837,"Lords of the Realm II",1996,"Impressions Games","Sierra Entertainment",1996-01-01
1838,"Lords of the Realm II: Siege Pack",1996,"Impressions Games","Sierra Entertainment",1996-01-01
1839,"Lords of the Rising Sun",1989,Cinemaware,Cinemaware,1989-01-01
1840,Lorna,"","","",
1841,"Los Justiciero","","","",
1842,"Lost Admiral, The","","","",
1843,"Lost Adventures of Kroz",1990,"Scott Miller","Apogee Software",1990-01-01
1844,"Lost Adventures of Legend, The","","","",
1845,"Lost Crown of Queen Anne, The","","","",
1846,"Lost Dutchman Mine",1989,"Magnetic Images","Magnetic Images",1989-01-01
1847,"Lost Dutchman's Gold","","","",
1848,"Lost Eden",1995,"Cryo Interactive","Virgin Interactive",1995-01-01
1849,"Lost Episodes of Doom, The","","","",
1850,"Lost Files of Sherlock Holmes, The: The Case of the Rose Tattoo",1996,"Mythos Software","Electronic Arts",1996-01-01
1851,"Lost Files of Sherlock Holmes, The: The Case of the Serrated Scalpel",1992,"Mythos Software","Electronic Arts",1992-01-01
1852,"Lost in Time",1993,"Coktel Vision","Sierra On-Line",1993-01-01
1853,"Lost Patrol",1990,"Shadow Development","Ocean Software",1990-01-01
1854,"Lost Tribe, The","","","",
1855,"Lost Vikings, The",1992,"Silicon & Synapse","Interplay Entertainment",1992-01-01
1856,"Lotus III: The Ultimate Challenge",1992,"Magnetic Fields","Gremlin Graphics",1992-01-01
1857,"Love's Fiery Imbroglio","","","",
1858,"Low Blow","","","",
1859,"Luigi en Circusland","","","",
1860,"Luigi & Spaghetti","","","",
1861,"Lunar Command",1993,"Wesson International","Mallard Software",1993-01-01
1862,"Lunar Explorer: A Space Flight Simulator",1986,EduWare,"Electric Transit",1986-01-01
1863,"Lupo Alberto, The VideoGame","","","",
1864,"Lure of the Temptress",1992,"Revolution Software","Virgin Interactive",1992-01-01
1865,"Lurking Horror, The",1987,Infocom,Infocom,1987-01-01
1866,"M1 Tank Platoon",1989,Microprose,Microprose,1989-01-01
1867,Maabus,"","","",
1868,"Macadam Bumper",1987,"ERE Informatique","ERE Informatique",1987-01-01
1869,"MacArthur's War: Battles for Korea",1989,"Strategic Studies Group","Strategic Studies Group",1989-01-01
1870,"Mach 3",1987,Loriciels,Loriciels,1987-01-01
1871,"Machiavelli the Prince",1995,"Holistic Design",MicroProse,1995-01-01
1872,"Mad Cow Man and Deep Fried Fat Boy","","","",
1873,"Mad Dog McCree",1993,"American Laser Games, IBM",IBM,1993-01-01
1874,"Mad Dog II: The Lost Gold",1994,"American Laser Games","American Laser Games",1994-01-01
1875,"Mad Mix","","","",
1876,"Mad Mix 2","","","",
1877,"Mad News","","","",
1878,"Mad Paradox","","","",
1879,"Mad TV",1991,"Rainbow Arts Software","Rainbow Arts Software",1991-01-01
1880,"Mad TV 2",1996,"Greenwood Entertainment Software",Funsoft,1996-01-01
1881,Maelstrom,1994,"Ambrosia Software","Ambrosia Software",1994-01-01
1882,MAG,"","","",
1883,"Magic Boxes","","","",
1884,"Magic Boy",1993,"Blue Turtle","Empire Interactive",1993-01-01
1885,"Magic Candle, The",1989,"Mindcraft Software","Mindcraft Software",1989-01-01
1886,"Magic Candle II, The",1991,"Mindcraft Software","Electronic Arts",1991-01-01
1887,"Magic Candle III",1992,"Mindcraft Software","Electronic Arts",1992-01-01
1888,"Magic Carpet",1994,"Bullfrog Productions","Electronic Arts",1994-01-01
1889,"Magic Carpet: Hidden Worlds",1995,"Bullfrog Productions","Electronic Arts",1995-01-01
1890,"Magic Carpet 2: The Netherworlds",1995,"Bullfrog Productions","Electronic Arts",1995-01-01
1891,"Magic Crayon","","","",
1892,"Magic Johnson MVP","","","",
1893,"Magicland Dizzy",1991,"Magicland Dizzy","Magicland Dizzy",1991-01-01
1894,"Magic & Mayhem for Heretic",1995,"","Laser Magic",1995-01-01
1895,"Magic Pockets",1991,"Bitmap Brothers","Renegade Software",1991-01-01
1896,"Magnetik Tank","","","",
1897,Magocracy,"","","",
1898,"Mah Jongg Solitaire","","","",
1899,"Major League Manager","","","",
1900,"Major Stryker",1993,"Apogee Software","Apogee Software",1993-01-01
1901,"Maker's Matchup","","","",
1902,Malice,1997,Ratloop,"Quantum Axcess",1997-01-01
1903,"Malta Storm",1989,"Simulations Canada","Simulations Canada",1989-01-01
1904,Mambo,"","","",
1905,"Manchester United",1990,"Krisalis Software","Krisalis Software",1990-01-01
1906,"Manchester United Europe",1991,"Krisalis Software","Krisalis Software",1991-01-01
1907,"Manchester United Premier League Champions",1994,"Krisalis Software","Krisalis Software",1994-01-01
1908,"Manchester United: The Double",1995,"Krisalis Software","Krisalis Software",1995-01-01
1909,"Manhole, The",1991,"Cyan Worlds","Brøderbund, Activision",1991-01-01
1910,"Manhole: New and Enhanced",1992,"Cyan Worlds",Activision,1992-01-01
1911,"Manhunter: New York",1988,Evryware,"Sierra Entertainment",1988-01-01
1912,"Manhunter 2: San Francisco",1989,Evryware,"Sierra Entertainment",1989-01-01
1913,"Maniac Mansion",1987,"Lucasfilm Games","Lucasfilm Games",1987-01-01
1914,"Manic Karts","","","",
1915,"Manic Miner",1997,"Alchemist Research","Alchemist Research",1997-01-01
1916,"Marble Cooking","","","",
1917,"Marble Madness",1986,Atari,"Electronic Arts",1986-01-01
1918,"Marco Polo","","","",
1919,"Marine Fighters","","","",
1920,"Mario is Missing!",1992,"Software Toolworks","Software Toolworks",1992-01-01
1921,"Mario's Early Years: Fun With Letters",1993,"Software Toolworks","Software Toolworks",1993-01-01
1922,"Mario's Game Gallery",1995,"Presage Software","Interplay Entertainment",1995-01-01
1923,"Mario Teaches Typing",1992,"Interplay Entertainment","Interplay Entertainment",1992-01-01
1924,"Marshmallow Duel","","","",
1925,"Mars Saga",1988,"Westwood Studios","Electronic Arts",1988-01-01
1926,"Martian Memorandum",1991,"Access Software","Access Software",1991-01-01
1927,"Mass Destruction",1997,"NMS Software","BMG Interactive Entertainment",1997-01-01
1928,Masterblazer,1991,"Rainbow Arts",LucasArts,1991-01-01
1929,"Master Levels for Doom II",1995,"id Software","GT Interactive Software",1995-01-01
1930,"Master Miner",1983,Funtastic,Funtastic,1983-01-01
1931,"Master Ninja: Shadow Warrior of Death","","","",
1932,"Master of Magic",1994,Simtex,Microprose,1994-01-01
1933,"Master of Orion",1993,Simtex,MicroProse,1993-01-01
1934,"Master of Orion II: Battle at Antares",1996,Simtex,MicroProse,1996-01-01
1935,Masterblazer,1990,"Rainbow Arts",LucasArts,1990-01-01
1936,"Math Blaster",1986,"Davidson & Associates","Davidson & Associates",1986-01-01
1937,"Math Blaster Plus!",1987,"Davidson & Associates","Davidson & Associates",1987-01-01
1938,"Math Maze",1983,DesignWare,DesignWare,1983-01-01
1939,"Math Rescue",1992,"Redwood Games","Apogee Software",1992-01-01
1940,"Matteraketen: Den försvunna staden","","","",
1941,"Matterhorn Screamer","","","",
1942,"Maupiti Island",1990,Lankhor,Lankhor,1990-01-01
1943,Maxit,1982,IBM,IBM,1982-01-01
1944,"M.A.X.: Mechanized Assault and Exploration",1996,"Interplay Entertainment","Interplay Entertainment",1996-01-01
1945,"Maze Machine",1986,"Apogee Software","Apogee Software",1986-01-01
1946,"Maze Runner",1986,"Apogee Software","Apogee Software",1986-01-01
1947,"Maze Wars",1992,"","",1992-01-01
1948,"M.C. Kids",1992,"Virgin Games","Virgin Games",1992-01-01
1949,MDK,1997,"Shiny Entertainment","Shiny Entertainment",1997-01-01
1950,"Mean 18",1986,Microsmiths,"Accolade Inc.",1986-01-01
1951,"Mean Streets",1989,"Access Software","Access Software",1989-01-01
1952,"Mech Brigade","","","",
1953,MechWarrior,1989,Dynamix,Activision,1989-01-01
1954,"MechWarrior 2: 31st Century Combat",1995,Activision,Activision,1995-01-01
1955,"MechWarrior 2: Ghost Bear's Legacy",1995,Activision,Activision,1995-01-01
1956,"MechWarrior 2: Mercenaries",1996,Activision,Activision,1996-01-01
1957,"Medieval Lords: Soldier Kings of Europe","","","",
1958,"Medieval Warriors",1991,"Merit Software","Merit Software",1991-01-01
1959,Megafortress,1991,"Artech Digital Entertainment","Three-Sixth Pacific",1991-01-01
1960,"Mega lo Mania",1991,"Virgin Interactive","Sensible Software",1991-01-01
1961,"Mega Man",1990,"Hi-Tech Expressions","Hi-Tech Expressions",1990-01-01
1962,"Mega Man 3: The Robots are Revolting",1992,"Hi-Tech Expressions","Hi-Tech Expressions",1992-01-01
1963,"Mega Man X",1995,Capcom,Capcom,1995-01-01
1964,"Mega Math",1992,"Jeff Tunnell Productions","Sierra On-Line",1992-01-01
1965,MegaRace,1994,"Software Toolworks","Cryo Interactive",1994-01-01
1966,"MegaRace 2",1996,"Cryo Interactive",Mindscape,1996-01-01
1967,Megaspectre,"","","",
1968,"MegaTraveller 1: The Zhodani Conspiracy",1990,"Paragon Software","Paragon Software",1990-01-01
1969,"MegaTraveller 2: Quest for the Ancients",1991,"Paragon Software","Paragon Software",1991-01-01
1970,"Megatron VGA",1993,"Stanley Design Team","Stanley Design Team",1993-01-01
1971,Menace,1988,"DMA Design",Psygnosis,1988-01-01
1972,Menzoberranzan,1994,"DreamForge Intertainment","Strategic Simulations",1994-01-01
1973,"Merchant Colony","","","",
1974,"Merchant Prince",1993,"Quantum Quality Productions","Several Dudes Holistic Gaming",1993-01-01
1975,Mercy,"","","",
1976,"Merlin Challenge","","","",
1977,"Metal Gear",1990,Konami,"Ultra Software",1990-01-01
1978,"Metal & Lace: Battle of the Robo Babes",1993,Forest,"Megatech Software",1993-01-01
1979,"Metal Mutant",1991,Silmarils,Silmarils,1991-01-01
1980,"Metaltech: Battledrome",1995,Dynamix,"Sierra On-Line",1995-01-01
1981,"Metaltech: Earthsiege",1994,Dynamix,"Sierra On-Line",1994-01-01
1982,"Metaltech: Earthsiege Speech Pack",1994,Dynamix,"Sierra On-Line",1994-01-01
1983,"Metaltech: Earthsiege - Expansion Pack",1995,Dynamix,"Sierra On-Line",1995-01-01
1984,Meteors,1989,"Apogee Software",Softdisk,1989-01-01
1985,Metropolis,1987,"Arcadia Systems","Melbourne House",1987-01-01
1986,"Miami Vice",1989,"Capstone Software","Capstone Software",1989-01-01
1987,"Mice Maze","","",,
1988,"Mice Men",1995,"Soleau Software","Soleau Software",1995-01-01
1989,"Michael Jordan in Flight",1993,"Electronic Arts","Dro Soft",1993-01-01
1990,"Michel Futbol Master + Super Skills","","","",
1991,"Mickey's Crossword Puzzle Maker","","","",
1992,"Mickey's Space Adventure",1986,"Al Lowe","Sierra Entertainment",1986-01-01
1993,Microcosm,1994,"Creative Assembly, Psygnosis",Psygnosis,1994-01-01
1994,"MicroLeague Baseball",1984,"Micro League Sports Association","MicroLeague Multimedia",1984-01-01
1995,"MicroLeague Baseball IV","","","",
1996,"MicroLeague Football 2","","","",
1997,"MicroLink Push Your Luck","","","",
1998,"MicroLink Shut the Box","","","",
1999,"MicroLink Yaht","","","",
2000,"Micro Machines",1994,Codemasters,Codemasters,1994-01-01
2001,"Micro Machines 2: Turbo Tournament",1995,Codemasters,"Supersonic Software",1995-01-01
2002,"Microprose Pro Soccer","","","",
2003,"Microsoft Adventure",1981,Microsoft,IBM,1981-01-01
2004,"Microsoft Caribbean","","","",
2005,"Microsoft Decathlon",1982,Microsoft,IBM,1982-01-01
2006,"Microsoft Flight Simulator 1.0",1982,subLOGIC,Microsoft,1982-01-01
2007,"Microsoft Flight Simulator 2.0",1984,subLOGIC,Microsoft,1984-01-01
2008,"Microsoft Flight Simulator 3.0",1988,subLOGIC,Microsoft,1988-01-01
2009,"Microsoft Flight Simulator 4.0",1989,"Bruce Artwick Organization",Microsoft,1989-01-01
2010,"Microsoft Flight Simulator Aircraft & Scenery Designer",1990,"Bruce Artwick Organization",Microsoft,1990-01-01
2011,"Microsoft Flight Simulator 5.0",1993,Microsoft,Microsoft,1993-01-01
2012,"Microsoft Space Simulator",1994,"Bruce Artwick Organization",Microsoft,1994-01-01
2013,"Midnight Rescue!",1989,"The Learning Company","The Learning Company",1989-01-01
2014,"Midway Campaign",1983,"Microcomputer Games","Avalon Hill",1983-01-01
2015,"Midway: The Battle that Doomed Japan",1989,"General Quarters Software","General Quarters Software",1989-01-01
2016,Midwinter,1990,"Maelstrom Games","Rainbird Software",1990-01-01
2017,"MiG-29: Deadly Adversary of Falcon 3.0",1993,"Spectrum Holobyte","Spectrum Holobyte",1993-01-01
2018,"MiG-29 Fulcrum",1990,Simis,Domark,1990-01-01
2019,"Might and Magic: The Secret of the Inner Sanctum",1987,"New World Computing","New World Computing",1987-01-01
2020,"Might and Magic II: Gates to Another World",1988,"New World Computing","New World Computing",1988-01-01
2021,"Might and Magic III: Isles of Terra",1991,"New World Computing","New World Computing",1991-01-01
2022,"Might and Magic IV: Clouds of Xeen",1992,"New World Computing","New World Computing",1992-01-01
2023,"Might and Magic V: Darkside of Xeen",1993,"New World Computing","New World Computing",1993-01-01
2024,"Might and Magic: World of Xeen",1994,"New World Computing","New World Computing",1994-01-01
2025,"Might and Magic Trilogy",1993,"New World Computing","Softgold Computerspiele",1993-01-01
2026,"Might and Magic Sixpack",1998,"New World Computing",Ubisoft,1998-01-01
2027,"Mighty Bombjack",1990,Tecmo,"Elite Systems",1990-01-01
2028,"Mike Ditka Ultimate Football","","","",
2029,"Mille Bornes","","","",
2030,"Millennia: Altered Destinies",1995,"Take 2 Interactive","Take 2 Interactive",1995-01-01
2031,"Millennium: Return to Earth",1989,"Electric Dreams","Ian Bird",1989-01-01
2032,"Mimi & The Mites","","","",
2033,Mindbender,1989,"","",1989-01-01
2034,"Mind Castle","","","",
2035,Mindfighter,1988,"Abstract Concepts",Activision,1988-01-01
2036,Mind-Roll,"","","",
2037,Mindshadow,1984,"Interplay Entertainment",Activision,1984-01-01
2038,Mindwheel,"","","",
2039,"Mine Shaft",1983,"Sierra On-Line",IBM,1983-01-01
2040,"Miner 2049er",1983,"Big Five Software","Micro Fun",1983-01-01
2041,"Miracle Piano Teaching System",1990,"Software Toolworks","Software Toolworks",1990-01-01
2042,"Missing Dots Matrix","","","",
2043,"Mission Critical",1995,"Legend Entertainment","Legend Entertainment",1995-01-01
2044,"Mission Impossible II",1988,Novotrade,Epyx,1988-01-01
2045,"Mission Supernova","","","",
2046,"Mist, The","","","",
2047,"Mixed-Up Fairy Tales",1991,"Sierra On-Line","Sierra On-Line",1991-01-01
2048,"Mixed-Up Mother Goose",1987,"Sierra On-Line","Sierra On-Line",1987-01-01
2049,"Mixed-Up Mother Goose (Enhanced CD-ROM Version)",1996,"Sierra On-Line","Sierra On-Line",1996-01-01
2050,"Modem Wars",1988,"Ozark Softscape","Electronic Arts",1988-01-01
2051,"Moebius: The Orb of Celestial Harmony",1985,"Origin Systems","Brøderbund",1985-01-01
2052,MoleZ,1997,"FRACTiLE Games","FRACTiLE Games",1997-01-01
2053,"Money Bags: Beat the Gnome of Zürich","","","",
2054,"Monkey Business","","","",
2055,"Monkey Island 2: LeChuck's Revenge",1991,"Lucasfilm Games","Lucasfilm Games",1991-01-01
2056,"Monkey Island Madness",1997,"Lucasfilm Games","Lucasfilm Games",1997-01-01
2057,Monopoly,1985,"Don Phillip Gibson","",1985-01-01
2058,"Monopoly Deluxe",1992,"Virgin Games","Virgin Games",1992-01-01
2059,"Monster Bash",1993,"Apogee Software","Apogee Software",1993-01-01
2060,"Monster Math",1983,IBM,IBM,1983-01-01
2061,"Montezuma's Revenge",1984,"Parker Brothers","BCI Software",1984-01-01
2062,"Montezuma's Return",1997,"Utopia Technologies","Software 2000, WizardWorks",1997-01-01
2063,"Monty Python's Flying Circus",1990,"Core Design","Virgin Games",1990-01-01
2064,"Monuments of Mars",1991,"Scenario Software","Apogee Software",1991-01-01
2065,"Moon Bugs",1983,"Windmill Software","Windmill Software",1983-01-01
2066,Moonmist,1986,Infocom,Infocom,1986-01-01
2067,"Moon Patrol",1983,Irem,Atari,1983-01-01
2068,"Moonstone: A Hard Days Knight",1991,Mindscape,Mindscape,1991-01-01
2069,Moonwalker,1989,"Emerald Software","U.S. Gold",1989-01-01
2070,"Moptown Parade","","","",
2071,"Moraff's Revenge",1988,Moraffware,Moraffware,1988-01-01
2072,"Moraff's Entrap",1991,Moraffware,Moraffware,1991-01-01
2073,"Moraff's World",1991,Moraffware,Moraffware,1991-01-01
2074,"Moraff's Stones",1992,Moraffware,Moraffware,1992-01-01
2075,"Moraff's Dungeons of the Unforgiven",1993,Moraffware,Moraffware,1993-01-01
2076,"Morkin 2","","","",
2077,"Mortadelo y Filemón 2","","","",
2078,"Mortal Coil: Adrenalin Intelligence",1995,"Crush Software","Virgin Interactive",1995-01-01
2079,"Mortal Kombat",1993,"Midway Games","Acclaim Entertainment",1993-01-01
2080,"Mortal Kombat II",1994,"Point of View, Inc.","Acclaim Entertainment",1994-01-01
2081,"Mortal Kombat 3",1995,"Midway Games",Atari,1995-01-01
2082,"Mortal Kombat Trilogy",1997,"Point of View, Inc.","Midway Games & GT Interactive",1997-01-01
2083,"Mortville Manor",1987,Lankhor,Lankhor,1987-01-01
2084,"Moses Matchup","","","",
2085,"Moses: Old Testament Adventure#1","","","",
2086,MOT,"","","",
2087,Motocross,"","","",
2088,"Motor City","","","",
2089,Mouser,1983,"Gebelli Software",IBM,1983-01-01
2090,"Mr. Boom",1999,"Remdy Software","Remdy Software",1999-01-01
2091,"Ms. Pac-Man",1983,"General Computer Corporation, Midway Games",Atari,1983-01-01
2092,"MTV's Club Dead","","","",
2093,M.U.D.S.,1990,"Golden Goblins","Rainbow Arts",1990-01-01
2094,Mumsaren,"","","",
2095,"Mundial de Fútbol",1990,"Opera Soft","Opera Soft",1990-01-01
2096,Murder!,"","","",
2097,"Murders in Space","","","",
2098,"Murders in Venice","","","",
2099,"Murder on the Zinderneuf",1984,"Free Fall Associates","Electronic Arts",1984-01-01
2100,"Museum Madness",1994,Novotrade,MECC,1994-01-01
2101,"Murder Makes Strange Deadfellows","","","",
2102,"Mutant Penguins","","","",
2103,"Mutan Zone","","","",
2104,"Muzzle Velocity",1996,"Code Fusion",Digi4fun,1996-01-01
2105,MYCHESS,"","","",
2106,"Mystery Master: Felony!","","","",
2107,"Mystery Master: Murder by the Dozen","","","",
2108,"Mystic Midway: Rest in Pieces",1994,"Philips Interactive Media","Philips Interactive Media",1994-01-01
2109,"Mystic Towers",1994,"Animation F/X","Manaccom, Apogee Software",1994-01-01
2110,Myth,1989,"Magnetic Scrolls",Rainbird,1989-01-01
2111,NAM,1998,"Team TNT","GT Interactive",1998-01-01
2112,"Napoleon in Russia: Borodino 1812",1988,"Krentek Software",Datasoft,1988-01-01
2113,"Narco Police",1989,"Iron Byte","Dinamic Software",1989-01-01
2114,"NASCAR Grand National Series Expansion Pack","","","",
2115,"NASCAR Racing",1994,"Papyrus Design Group","Virgin Interactive, Sierra On-Line",1994-01-01
2116,"NASCAR Track Pack",1995,"Papyrus Design Group","Virgin Interactive, Sierra On-Line",1995-01-01
2117,"NASCAR Racing 2",1996,"Papyrus Design Group","Papyrus Design Group, Sierra On-Line",1996-01-01
2118,"NASCAR Grand National Series Expansion Pack",1997,"Papyrus Design Group","Sierra On-Line",1997-01-01
2119,"National Lampoon's Chess Maniac 5 Billion and 1","","","",
2120,Navcom-6,"","","",
2121,"Navy Moves","","","",
2122,"Navy Seals",1990,"Ocean Software","Ocean Software",1990-01-01
2123,"Navy Strike","","","",
2124,"NBA Jam Tournament Edition",1994,"Midway Games","Acclaim Entertainment",1994-01-01
2125,"NBA Live 95",1994,"Hitmen Productions","Electronic Arts",1994-01-01
2126,"NBA Live 96",1995,"Electronic Arts","Electronic Arts",1995-01-01
2127,"NBA Live 97",1996,"Electronic Arts","Electronic Arts",1996-01-01
2128,"NCAA Basketball: Road to the Final Four (91/92 Edition)","","","",
2129,"NCAA Road to the Final Four 2","","","",
2130,"NCAA Championship Basketball","","","",
2131,"Need for Speed",1994,"EA Canada, Pioneer Productions","Electronic Arts",1994-01-01
2132,"Need for Speed - Special Edition",1996,"EA Seattle, Pioneer Productions","Electronic Arts",1996-01-01
2133,"Nemesis: The Wizardry Adventure",1996,Sir-Tech,Sir-Tech,1996-01-01
2134,NeoHunter,"","","",
2135,"Nephi's Quest","","","",
2136,"Nerves of Steel","","","",
2137,NetHack,1987,"","",1987-01-01
2138,"NetHack: Falcon's Eye","","","",
2139,Netherworld,1988,"Jukka Tapanimäki","Hewson Consultants",1988-01-01
2140,NetMaze,"","","",
2141,NetMech,1996,Activision,Activision,1996-01-01
2142,Net:ZONE,1996,"Compro Games",GameTek,1996-01-01
2143,Neuromancer,1988,"Interplay Entertainment",Mediagenic,1988-01-01
2144,"Neverending Story II, The","","","",
2145,Nevermind,1989,Psygnosis,Psyclapse,1989-01-01
2146,"Neverwinter Nights",1991,"Stormfront Studios","Strategic Simulations",1991-01-01
2147,"NFL Pro League Football","","","",
2148,"NFL Pro League Football (1991 edition)","","","",
2149,"NFL Quarterback Club 96","","","",
2150,"NHL Hockey",1993,"Electronic Arts","EA Sports",1993-01-01
2151,"NHL 95",1994,"EA Canada, Pioneer Productions","EA Sports",1994-01-01
2152,"NHL 96",1995,"EA Canada, Pioneer Productions","EA Sports",1995-01-01
2153,"NHL 97",1996,"EA Canada","EA Sports",1996-01-01
2154,Nibbles,1991,"Microsoft Game Studios","Microsoft Game Studios",1991-01-01
2155,"Nick Faldo's Championship Gold","","","",
2156,"Nigel Mansell's World Championship",1993,"Gremlin Graphics
[GameTek
",,1993-01-01
2157,"Night Bomber","","","",
2158,"Night Hawk: F-117A Stealth Fighter 2.0",1991,Microprose,Microprose,1991-01-01
2159,NightHunter,"","","",
2160,"Night Mission Pinball",1982,subLOGIC,subLOGIC,1982-01-01
2161,"Night Raid",1992,"Software Creations","Software Creations",1992-01-01
2162,"Night Shift",1990,"Lucasfilm Games","Lucasfilm Games",1990-01-01
2163,"Night Stalker",1983,"","Mattel Electronics",1983-01-01
2164,"Night Trap",1994,"Digital Pictures","Digital Pictures",1994-01-01
2165,"Nightmare on Elm Street, A",1989,"Westwood Studios","Monarch Development",1989-01-01
2166,"Nine Princes in Amber","","","",
2167,Ninja,1986,"Sculptured Software",Mastertronic,1986-01-01
2168,"Ninja Gaiden",1990,Tecmo,"Hi-Tech Expressions",1990-01-01
2169,"Ninja Gaiden II: The Dark Sword of Chaos",1991,Tecmo,GameTek,1991-01-01
2170,"Ninja Rabbits",1991,MicroValue,MicroValue,1991-01-01
2171,"Nippon Safes Inc.","","","",
2172,"Nitemare 3D",1994,"Gray Design Associates","Gray Design Associates",1994-01-01
2173,"Nobunaga's Ambition",1988,KOEI,KOEI,1988-01-01
2174,"Nobunaga's Ambition 2",1989,KOEI,KOEI,1989-01-01
2175,Noctis,1996,"Alessandro Ghignola","",1996-01-01
2176,Noctropolis,1994,"Flashpoint Productions","Electronic Arts",1994-01-01
2177,"No Exit",1990,"Coktel Vision, MDO","Tomahawk Software",1990-01-01
2178,"No Greater Glory",1991,"Space Time Simulations","Strategic Simulations",1991-01-01
2179,Nomad,1993,"Intense! Interactive, Papyrus Design Group",GameTek,1993-01-01
2180,"Nord and Bert Couldn't Make Head or Tail of It",1987,Infocom,Infocom,1987-01-01
2181,Normality,1996,"Gremlin Interactive","Interplay Entertainment",1996-01-01
2182,"Norse by Norse West: The Return of the Lost Vikings",1992,"Silicon & Synapse","Interplay Entertainment",1992-01-01
2183,"North & South",1989,Infogrames,Infogrames,1989-01-01
2184,"Nova 9: Return of Gir Draxon",1991,Dynamix,"Sierra On-Line",1991-01-01
2185,"Novalight Tetris","","","",
2186,Novastorm,1994,Psygnosis,"Sony Electronic Publishing",1994-01-01
2187,Novatron,"","","",
2188,"Nuclear War",1989,"New World Computing","U.S. Gold",1989-01-01
2189,"Nuke It","","","",
2190,"Nuke It 1000","","","",
2191,"Nuke It v2.0","","","",
2192,"Number Munchers",1990,MECC,MECC,1990-01-01
2193,"Number Munchers Tribute","","","",
2194,Nyet,"","","",
2195,"Nyet 3: The Revenge of the Mutant Stones","","","",
2196,"NY Warriors","","","",
2197,Obitus,1991,Psygnosis,Psygnosis,1991-01-01
2198,Obliterator,1988,Psygnosis,Psygnosis,1988-01-01
2199,Obliterator,1996,"Justin Smith","",1996-01-01
2200,"Ocean Ranger",1988,Activision,Activision,1988-01-01
2201,"Ocean Trader",1995,"Software 2000","Software 2000",1995-01-01
2202,Ogre,1986,"Origin Systems","Origin Systems",1986-01-01
2203,"Oh No! More Lemmings",1991,"DMA Design",Psygnosis,1991-01-01
2204,"Oil Barons",1983,Epyx,Epyx,1983-01-01
2205,"Oil's Well",1984,"Sierra On-Line","Sierra On-Line",1984-01-01
2206,Oligopoly,1986,"PC Design Associates","XOR Corporation",1986-01-01
2207,"Oliver & Company",1989,"Coktel Vision","Coktel Vision",1989-01-01
2208,"Olympic Games: Atlanta 1996",1996,Tiertex,"U.S. Gold",1996-01-01
2209,Omega,1988,"Origin Systems","Origin Systems",1988-01-01
2210,Omega,1989,"Origin Systems","Origin Systems",1989-01-01
2211,"Omnicron Conspiracy",1989,"First Star Software",Epyx,1989-01-01
2212,"Once and Future",1998,"Cascade Mountain Publishing","Cascade Mountain Publishing",1998-01-01
2213,"Once Upon A Forest",1995,"Sanctuary Woods","Sanctuary Woods",1995-01-01
2214,"One Must Fall: 2097",1994,"Diversions Entertainment","Epic MegaGames",1994-01-01
2215,"One on One: Dr. J vs. Larry Bird",1983,"Eric Hammond","Electronic Arts",1983-01-01
2216,"Onesimus: A Quest for Freedom",1992,"Ark Multimedia Publishing","Ark Multimedia Publishing",1992-01-01
2217,"One Step Beyond",1993,"Red Rat Software","Ocean Software",1993-01-01
2218,"One Unit Whole Blood",1998,"Monolith Productions",Atari,1998-01-01
2219,"ONSIDE Complete Soccer",1996,"Telstar Electronic Studios","Telstar Electronic Studios",1996-01-01
2220,"On Target",1992,"Villa Crespo Software","Villa Crespo Software",1992-01-01
2221,"On the Ball",1993,Ascon,Ascon,1993-01-01
2222,"On the Ball: World Cup Edition",1993,Ascon,Ascon,1993-01-01
2223,Oo-topos,1986,Polarware,Polarware,1986-01-01
2224,"Ooze: Creepy Nites",1989,"Dragonware Games","Dragonware Games",1989-01-01
2225,"Operation Body Count",1994,"Capstone Software","Capstone Software",1994-01-01
2226,"Operation Carnage",1996,"Midnight Synergy","Beaucomm Interactive",1996-01-01
2227,"Operation: Cleanstreets",1988,Silmarils,"Brøderbund",1988-01-01
2228,"Operation Crusader",1994,"Atomic Games","Avalon Hill",1994-01-01
2229,"Operation Europe: Path to Victory",1994,KOEI,KOEI,1994-01-01
2230,"Operation Market Garden: Drive on Arnhem, September 1944",1985,"Strategic Simulations","Strategic Simulations",1985-01-01
2231,"Operation Neptune",1991,"The Learning Company","The Learning Company",1991-01-01
2232,"Operation Stealth",1990,"Delphine Software","Interplay Entertainment, U.S. Gold",1990-01-01
2233,"Operation Wolf",1988,Taito,Taito,1988-01-01
2234,Orbiter,1986,"Spectrum Holobyte","Spectrum Holobyte",1986-01-01
2235,"Oregon Trail, The",1990,MECC,MECC,1990-01-01
2236,"Orion Burger",1996,"Sanctuary Woods","Eidos Interactive",1996-01-01
2237,"Orion Conspiracy, The",1995,"Divide By Zero",Domark,1995-01-01
2238,Oscar,1994,"Flair Software","Flair Software",1994-01-01
2239,Oubliette,1983,"Bear Systems","Human Engineered Software",1983-01-01
